Parameter 1,Parameter 2,Populated Bins,Total Bins,Entropy,Gini Index,Avg Samples/Bin,Min Samples/Bin,PPI Grid Rank,Sufficient
H2,x6,25,25,2.968734678887099,0.9389684287106244,241.36,52,5,True
rhos,H2,25,25,2.916081468215445,0.9346694551227719,241.36,15,5,True
nus,cs,25,25,2.885386374431622,0.9325089546157016,241.36,1,5,True
rhos,nus,25,25,2.867492037696572,0.9303263168198681,241.36,10,5,True
nus,H2,25,25,2.894958066349374,0.9312774511993631,241.36,13,5,True
nus,x6,25,25,2.943066660759339,0.9366075939799319,241.36,17,5,True
cs,H2,25,25,2.9112223203236094,0.9350768251810067,241.36,5,5,True
rhos,x6,25,25,2.9746917828877124,0.9410245049349675,241.36,20,5,True
rhos,cs,24,25,2.8773757079790663,0.9317056951278959,251.41666666666666,3,5,True
cs,x6,22,25,2.9169397460638007,0.9379186378283528,274.27272727272725,97,5,True
nus,H1,20,20,2.6580617223490575,0.9133739326448544,301.7,16,4,True
H1,x6,20,20,2.7586802277558853,0.9241598459464427,301.7,66,4,True
nus,phis,20,20,2.6396928557652646,0.9108109509596981,301.7,11,4,True
nus,epss,20,20,2.6368128112626987,0.9116326673433462,301.7,7,4,True
H1,H2,20,20,2.7339350875468384,0.9211702682698825,301.7,43,4,True
loadb,rhos,20,20,2.613620803603763,0.9078241198450192,301.7,8,4,True
nus,hks,20,20,2.6873708035567114,0.9176959773525099,301.7,12,4,True
thetass,H2,20,20,2.675444978740277,0.9142431645490492,301.7,31,4,True
epss,x6,20,20,2.753595662719284,0.9238795867720746,301.7,51,4,True
hks,H2,20,20,2.753881117634891,0.9243629816631839,301.7,41,4,True
cs,thetass,20,20,2.6697950354006,0.9149964366106152,301.7,1,4,True
cs,hks,20,20,2.7397870295523643,0.9254677037830814,301.7,6,4,True
thetass,x6,20,20,2.7432335903856564,0.9227939807228709,301.7,64,4,True
phis,H2,20,20,2.731639497421878,0.9208916570326431,301.7,39,4,True
phis,x6,20,20,2.7645957584663625,0.9246916352579005,301.7,70,4,True
epss,H2,20,20,2.73476349338411,0.9215807144774243,301.7,39,4,True
hks,x6,20,20,2.7646319311170595,0.925264018753964,301.7,48,4,True
nus,thetass,20,20,2.652444151278185,0.9120769511932658,301.7,13,4,True
rhos,H1,20,20,2.661265508059373,0.9143132018770224,301.7,5,4,True
loadb,nus,20,20,2.649262040097064,0.9124005511141209,301.7,7,4,True
loadb,x6,20,20,2.7582036601150866,0.9241071119583217,301.7,68,4,True
loadb,H2,20,20,2.6955858677939903,0.9167851075701947,301.7,30,4,True
rhos,hks,20,20,2.695130326599899,0.9187564248948809,301.7,13,4,True
Es,rhos,20,20,2.6698195442386377,0.9147949488310029,301.7,7,4,True
Es,nus,20,20,2.648141104138731,0.9122588834522832,301.7,8,4,True
Es,H2,20,20,2.733050526815527,0.9218731134553078,301.7,41,4,True
Es,x6,20,20,2.7524027085345772,0.9235921865368151,301.7,57,4,True
rhos,phis,20,20,2.6672961634402474,0.9142050972013743,301.7,9,4,True
rhos,epss,20,20,2.657757211721706,0.9135923392456557,301.7,10,4,True
rhos,thetass,20,20,2.5967309407547363,0.9057960036206277,301.7,11,4,True
cs,phis,19,20,2.697153713647918,0.9189947715349402,317.57894736842104,2,4,True
cs,epss,19,20,2.714145665650552,0.9215138082299958,317.57894736842104,1,4,True
Es,cs,19,20,2.7162882168277167,0.9212437113345885,317.57894736842104,1,4,True
loadb,cs,19,20,2.6960422842953284,0.9181413048959444,317.57894736842104,1,4,True
cs,H1,18,20,2.7065871665731875,0.9205264192336675,335.22222222222223,72,4,True
thetass,hks,16,16,2.435033099858139,0.8749049277604787,377.125,33,4,True
thetass,H1,16,16,2.358470500172906,0.8569730097561175,377.125,27,4,True
loadb,epss,16,16,2.351523003548216,0.8562274829990566,377.125,30,4,True
loadb,hks,16,16,2.4270629284477523,0.8746973426134899,377.125,35,4,True
loadb,thetass,16,16,2.330415920362614,0.8489050940922662,377.125,43,4,True
hks,H1,16,16,2.4265823362092167,0.871880303954313,377.125,38,4,True
loadb,phis,16,16,2.374099199687225,0.8581821012275044,377.125,45,4,True
loadb,H1,16,16,2.384495119699418,0.8610802183934173,377.125,27,4,True
phis,hks,16,16,2.4147772265115126,0.8711141779831425,377.125,29,4,True
epss,H1,16,16,2.3766087833356275,0.8607868855844942,377.125,36,4,True
epss,hks,16,16,2.3833852963592674,0.8675452405433403,377.125,39,4,True
epss,thetass,16,16,2.3818038166247915,0.8615280727737825,377.125,36,4,True
phis,H1,16,16,2.3567666948542483,0.8546234359291383,377.125,38,4,True
phis,thetass,16,16,2.35162658794764,0.8531134311380357,377.125,49,4,True
phis,epss,16,16,2.3346982818007875,0.8535947386421152,377.125,34,4,True
Es,phis,16,16,2.3481147349446707,0.8549797199363809,377.125,34,4,True
Es,epss,16,16,2.355794628697472,0.8579064562770968,377.125,28,4,True
Es,thetass,16,16,2.372332843886193,0.8588232586330757,377.125,34,4,True
Es,hks,16,16,2.408645311408378,0.8702092407744909,377.125,36,4,True
Es,H1,16,16,2.3665258007235233,0.8578583365129364,377.125,37,4,True
loadb,Es,16,16,2.3882106089133024,0.8623445157586185,377.125,31,4,True
